http://data.cso.ie/census-2011/dataset/persons-with-disability/cty	Persons with disability by age group - city@en	SP.POP.DISA
http://data.cso.ie/census-2011/dataset/population-age-education-ceased/cty	Population aged 15 years and over by age education ceased - city@en	SP.POP.15GE
http://data.cso.ie/census-2011/dataset/carers-unpaid-hours/cty	Carers by sex and number of unpaid hours per week - city@en	SH.CER.TOTL
http://data.cso.ie/census-2011/dataset/population-highest-education/cty	Population aged 15 years and over by sex and highest level of education completed - city@en	SP.POP.15GE
http://data.cso.ie/census-2011/dataset/age-group-gender-population/cty	Population aged 0-19 by sex and year of age, persons aged 20+ by sex and age group - city@en	SP.POP.TOTL
http://data.cso.ie/census-2011/dataset/persons-in-houses-by-year-built/cty	Persons in permanent private households by year built - city@en	SP.PRH.PERS
http://data.cso.ie/census-2011/dataset/persons-industry/cty	Persons at work by industry and sex - city@en	SP.WOR.PERS
http://data.cso.ie/census-2011/dataset/persons-occupation/cty	Persons at work or unemployed by occupation and sex - city@en	SP.WOR.PERS
http://data.cso.ie/census-2011/dataset/population-health-status/cty	Population by general health and sex - city@en	SP.POP.TOTL
http://data.cso.ie/census-2011/dataset/population-marital-status/cty	Population by sex and marital status - city@en	SP.POP.TOTL
http://data.cso.ie/census-2011/dataset/population-place-of-birth/cty	Usually resident population by place of birth and nationality - city@en	SP.ROP.TOTL
http://data.cso.ie/census-2011/dataset/population-principal-status/cty	Population aged 15 years and over by principal economic status and sex - city@en	SP.POP.15GE
http://data.cso.ie/census-2011/dataset/population-by-nationality/cty	Usually resident population by place of birth and nationality - city@en	SP.ROP.TOTL
http://data.cso.ie/census-2011/dataset/population-by-religion/cty	Population by religion - city@en	SP.POP.TOTL
http://data.cso.ie/census-2011/dataset/population-by-residence-1-year-b4-census/cty	Usually resident population aged 1 and over by usual residence 1 year before Census Day - city@en	SP.ROP.01GE
http://data.cso.ie/census-2011/dataset/population-commuting-means/cty	Population aged 5 years and over by means of travel to work, school or college - city@en	SP.POP.05GE
http://data.cso.ie/census-2011/dataset/population-commuting-time/cty	Population aged 5 years and over by journey time to work, school or college - city@en	SP.POP.05GE
http://data.cso.ie/census-2011/dataset/population-education-status/cty	Population aged 15 years and over whose education has not ceased - city@en	SP.POP.15GE
http://data.cso.ie/census-2011/dataset/population-ethnic-group/cty	Usually resident population by ethnic or cultural background - city@en	SP.ROP.TOTL
http://data.cso.ie/census-2011/dataset/population-field-of-study/cty	Population aged 15 years and over by field of study - city@en	SP.POP.15GE
http://data.cso.ie/census-2011/dataset/children-by-size-of-family/cty	Children in families by size of family - city@en	SP.CHI.TOTL
http://data.cso.ie/census-2011/dataset/establishments-communal-establishments/cty	Communal Establishments - city@en	SP.EST.COMM
http://data.cso.ie/census-2011/dataset/families-by-age-of-youngest-child/cty	Families by age of youngest child - city@en	SP.FAM.TOTL
http://data.cso.ie/census-2011/dataset/families-by-children-age-and-type-of-family/cty	families by type of family and age of children - city@en	SP.FAM.TOTL
http://data.cso.ie/census-2011/dataset/population-social-class/cty	Population by sex and social class - city@en	SP.POP.TOTL
http://data.cso.ie/census-2011/dataset/population-time-leaving-to-work/cty	Population aged 5 years and over by time leaving home to travel to work, school or college - city@en	SP.POP.05GE
http://data.cso.ie/census-2011/dataset/children-by-age-and-type-of-family/cty	children by type of family and age of children - city@en	SP.CHI.TOTL
