Austria	http://data.lod2.eu/scoreboard/country/Austria	Austria	Austria	administrative-area
Belgium	http://data.lod2.eu/scoreboard/country/Belgium	Belgium	Belgium	administrative-area
Bulgaria	http://data.lod2.eu/scoreboard/country/Bulgaria	Bulgaria	Bulgaria	administrative-area
Croatia	http://data.lod2.eu/scoreboard/country/Croatia	Croatia	Croatia	administrative-area
Cyprus	http://data.lod2.eu/scoreboard/country/Cyprus	Cyprus	Cyprus	administrative-area
Czech Republic	http://data.lod2.eu/scoreboard/country/Czech+Republic	CzechRepublic	Czech Republic	administrative-area
Denmark	http://data.lod2.eu/scoreboard/country/Denmark	Denmark	Denmark	administrative-area
Estonia	http://data.lod2.eu/scoreboard/country/Estonia	Estonia	Estonia	administrative-area
Finland	http://data.lod2.eu/scoreboard/country/Finland	Finland	Finland	administrative-area
France	http://data.lod2.eu/scoreboard/country/France	France	France	administrative-area
Germany	http://data.lod2.eu/scoreboard/country/Germany	Germany	Germany	administrative-area
Greece	http://data.lod2.eu/scoreboard/country/Greece	Greece	Greece	administrative-area
Hungary	http://data.lod2.eu/scoreboard/country/Hungary	Hungary	Hungary	administrative-area
Iceland	http://data.lod2.eu/scoreboard/country/Iceland	Iceland	Iceland	administrative-area
Ireland	http://data.lod2.eu/scoreboard/country/Ireland	Ireland	Ireland	administrative-area
Italy	http://data.lod2.eu/scoreboard/country/Italy	Italy	Italy	administrative-area
Latvia	http://data.lod2.eu/scoreboard/country/Latvia	Latvia	Latvia	administrative-area
Lithuania	http://data.lod2.eu/scoreboard/country/Lithuania	Lithuania	Lithuania	administrative-area
Luxembourg	http://data.lod2.eu/scoreboard/country/Luxembourg	Luxembourg	Luxembourg	administrative-area
Malta	http://data.lod2.eu/scoreboard/country/Malta	Malta	Malta	administrative-area
Netherlands	http://data.lod2.eu/scoreboard/country/Netherlands	Netherlands	Netherlands	administrative-area
Norway	http://data.lod2.eu/scoreboard/country/Norway	Norway	Norway	administrative-area
Poland	http://data.lod2.eu/scoreboard/country/Poland	Poland	Poland	administrative-area
Portugal	http://data.lod2.eu/scoreboard/country/Portugal	Portugal	Portugal	administrative-area
Romania	http://data.lod2.eu/scoreboard/country/Romania	Romania	Romania	administrative-area
Slovak Republic	http://data.lod2.eu/scoreboard/country/Slovak+Republic	Slovakia	Slovak Republic	administrative-area
Slovenia	http://data.lod2.eu/scoreboard/country/Slovenia	Slovenia	Slovenia	administrative-area
Spain	http://data.lod2.eu/scoreboard/country/Spain	Spain	Spain	administrative-area
Sweden	http://data.lod2.eu/scoreboard/country/Sweden	Sweden	Sweden	administrative-area
Turkey	http://data.lod2.eu/scoreboard/country/Turkey	Turkey	Turkey	administrative-area
United Kingdom	http://data.lod2.eu/scoreboard/country/United+Kingdom	UnitedKingdom	United Kingdom	administrative-area
