AUßERFERN	http://bwd.eea.europa.eu/resource/provinces/ATAUßERFERN	Austria/Tyrol/Reutte	Reutte District	administrative-area
GRAZ	http://bwd.eea.europa.eu/resource/provinces/ATGRAZ	Austria/Styria/Graz	Graz	administrative-area
INNSBRUCK	http://bwd.eea.europa.eu/resource/provinces/ATINNSBRUCK	Austria/Tyrol/Innsbruck	Innsbruck	administrative-area
INNVIERTEL	http://bwd.eea.europa.eu/resource/provinces/ATINNVIERTEL	Austria/Oberösterreich/InnviertlerStraße	Innviertler Straße	administrative-area
KLAGENFURT-VILLACH	http://bwd.eea.europa.eu/resource/provinces/ATKLAGENFURT-VILLACH	Austria/Carinthia/Villach	Villach	administrative-area
LIEZEN	http://bwd.eea.europa.eu/resource/provinces/ATLIEZEN	Austria/Styria/Liezen	Liezen District	administrative-area
LINZ-WELS	http://bwd.eea.europa.eu/resource/provinces/ATLINZ-WELS	Austria/UpperAustria/Wels	Wels	administrative-area
LUNGAU	http://bwd.eea.europa.eu/resource/provinces/ATLUNGAU	Austria/Salzburg/Tamsweg	Tamsweg District	administrative-area
MITTELBURGENLAND	http://bwd.eea.europa.eu/resource/provinces/ATMITTELBURGENLAND	Austria/Burgenland/Oberpullendorf	Oberpullendorf District	administrative-area
MOSTVIERTEL-EISENWUR	http://bwd.eea.europa.eu/resource/provinces/ATMOSTVIERTEL-EISENWUR	undefined/MOSTVIERTEL-EISENWUR	MOSTVIERTEL-EISENWUR	non-administrative-area
MÜHLVIERTEL	http://bwd.eea.europa.eu/resource/provinces/ATMÜHLVIERTEL	Austria/UpperAustria/Mühlviertel	Mühlviertel	non-administrative-area
NORDBURGENLAND	http://bwd.eea.europa.eu/resource/provinces/ATNORDBURGENLAND	Austria/Burgenland/Nordburgenland	Nordburgenland	non-administrative-area
OBERKÄRNTEN	http://bwd.eea.europa.eu/resource/provinces/ATOBERKÄRNTEN	Austria/Carinthia/Oberkärnten	Oberkärnten	non-administrative-area
OSTSTEIERMARK	http://bwd.eea.europa.eu/resource/provinces/ATOSTSTEIERMARK	Austria/Styria/Oststeiermark	Oststeiermark	non-administrative-area
OSTTIROL	http://bwd.eea.europa.eu/resource/provinces/ATOSTTIROL	Austria/Tyrol/EastTyrol	East Tyrol	administrative-area
PINZGAU-PONGAU	http://bwd.eea.europa.eu/resource/provinces/ATPINZGAU-PONGAU	Austria/Salzburg/Salzburg/Pinzgau-Pongau	Pinzgau-Pongau	non-administrative-area
RHEINTAL-BODENSEEGEB	http://bwd.eea.europa.eu/resource/provinces/ATRHEINTAL-BODENSEEGEB	undefined/RHEINTAL-BODENSEEGEB	RHEINTAL-BODENSEEGEB	non-administrative-area
SALZBURG UND UMGEBUN	http://bwd.eea.europa.eu/resource/provinces/ATSALZBURG%20UND%20UMGEBUN	Austria/Salzburg/Salzburg	Salzburg	administrative-area
SALZBURG UND UMGEBUNG	http://bwd.eea.europa.eu/resource/provinces/ATSALZBURG%20UND%20UMGEBUNG	Austria/Salzburg/Salzburg/SALZBURGUNDUMGEBUNG	SALZBURG UND UMGEBUNG	non-administrative-area
SANKT PÖLTEN	http://bwd.eea.europa.eu/resource/provinces/ATSANKT%20PÖLTEN	Austria/LowerAustria/SanktPölten/SaintPölten	Saint Pölten	administrative-area
STEYR-KIRCHDORF	http://bwd.eea.europa.eu/resource/provinces/ATSTEYR-KIRCHDORF	Austria/UpperAustria/Steyr-Kirchdorf	Steyr-Kirchdorf	non-administrative-area
SÜDBURGENLAND	http://bwd.eea.europa.eu/resource/provinces/ATSÜDBURGENLAND	Austria/Burgenland/Südburgenland	Südburgenland	non-administrative-area
TIROLER OBERLAND	http://bwd.eea.europa.eu/resource/provinces/ATTIROLER%20OBERLAND	Austria/Tirol/Imst/Mieming/Obermieming/Oberlandweg	Oberlandweg	administrative-area
TIROLER UNTERLAND	http://bwd.eea.europa.eu/resource/provinces/ATTIROLER%20UNTERLAND	Austria/Tyrol/TirolerUnterland	Tiroler Unterland	non-administrative-area
TRAUNVIERTEL	http://bwd.eea.europa.eu/resource/provinces/ATTRAUNVIERTEL	Austria/UpperAustria/Traunviertel	Traunviertel	non-administrative-area
UNTERKÄRNTEN	http://bwd.eea.europa.eu/resource/provinces/ATUNTERKÄRNTEN	Austria/Carinthia/Unterkärnten	Unterkärnten	non-administrative-area
WALDVIERTEL	http://bwd.eea.europa.eu/resource/provinces/ATWALDVIERTEL	Austria/Steiermark/Hartberg-Fürstenfeld/EbersdorfbeiHartberg/Waldviertel	Waldviertel	administrative-area
WEINVIERTEL	http://bwd.eea.europa.eu/resource/provinces/ATWEINVIERTEL	Austria/LowerAustria/Weinviertel	Weinviertel	non-administrative-area
WEST- UND SÜDSTEIER	http://bwd.eea.europa.eu/resource/provinces/ATWEST-%20UND%20SÜDSTEIER	undefined/WEST-UNDSÜDSTEIER	WEST- UND SÜDSTEIER	non-administrative-area
WESTLICHE OBERSTEIER	http://bwd.eea.europa.eu/resource/provinces/ATWESTLICHE%20OBERSTEIER	undefined/WESTLICHEOBERSTEIER	WESTLICHE OBERSTEIER	non-administrative-area
WIEN	http://bwd.eea.europa.eu/resource/provinces/ATWIEN	Austria/Vienna/Vienna	Vienna	administrative-area
WIENER UMLAND/NORDTE	http://bwd.eea.europa.eu/resource/provinces/ATWIENER%20UMLAND/NORDTE	undefined/WIENERUMLAND/NORDTE	WIENER UMLAND/NORDTE	non-administrative-area
WIENER UMLAND/SÜDTEI	http://bwd.eea.europa.eu/resource/provinces/ATWIENER%20UMLAND/SÜDTEI	undefined/WIENERUMLAND/SÜDTEI	WIENER UMLAND/SÜDTEI	non-administrative-area
ÖSTLICHE OBERSTEIERM	http://bwd.eea.europa.eu/resource/provinces/ATÖSTLICHE%20OBERSTEIERM	undefined/ÖSTLICHEOBERSTEIERM	ÖSTLICHE OBERSTEIERM	non-administrative-area
ANTWERPEN	http://bwd.eea.europa.eu/resource/provinces/BEANTWERPEN	Belgium/Flanders/Antwerp	Antwerp	administrative-area
BRABANT	http://bwd.eea.europa.eu/resource/provinces/BEBRABANT	Netherlands/NorthBrabant	North Brabant	administrative-area
HAINAUT	http://bwd.eea.europa.eu/resource/provinces/BEHAINAUT	Belgium/WalloonRegion/Hainaut	Hainaut	administrative-area
LIEGE	http://bwd.eea.europa.eu/resource/provinces/BELIEGE	Belgium/WalloonRegion/Liege/Liège	Liège	administrative-area
LIMBURG	http://bwd.eea.europa.eu/resource/provinces/BELIMBURG	Netherlands/Limburg	Limburg	administrative-area
LUXEMBOURG	http://bwd.eea.europa.eu/resource/provinces/BELUXEMBOURG	Belgium/WalloonRegion/Luxembourg	Luxembourg	administrative-area
NAMUR	http://bwd.eea.europa.eu/resource/provinces/BENAMUR	Belgium/WalloonRegion/ProvinceofNamur	Province of Namur	administrative-area
OOST VLAANDEREN	http://bwd.eea.europa.eu/resource/provinces/BEOOST%20VLAANDEREN	Belgium/Vlaanderen/Oost-Vlaanderen	Oost-Vlaanderen	administrative-area
WEST VLAANDEREN	http://bwd.eea.europa.eu/resource/provinces/BEWEST%20VLAANDEREN	Belgium/Flanders/WestFlanders	West Flanders	administrative-area
SEVERN TSENTRALEN	http://bwd.eea.europa.eu/resource/provinces/BGSEVERN%20TSENTRALEN	Bulgaria/SeverenTsentralenPlanningRegion	Severen Tsentralen Planning Region	administrative-area
SEVEROIZTOCHEN	http://bwd.eea.europa.eu/resource/provinces/BGSEVEROIZTOCHEN	Bulgaria/SeveroiztochenPlanningRegion	Severoiztochen Planning Region	administrative-area
YUGOIZTOCHEN	http://bwd.eea.europa.eu/resource/provinces/BGYUGOIZTOCHEN	Bulgaria/YugoiztochenPlanningRegion	Yugoiztochen Planning Region	administrative-area
YUZHEN TSENTRALEN	http://bwd.eea.europa.eu/resource/provinces/BGYUZHEN%20TSENTRALEN	Bulgaria/YuzhenTsentralenPlanningRegion	Yuzhen Tsentralen Planning Region	administrative-area
AARGAU	http://bwd.eea.europa.eu/resource/provinces/CHAARGAU	Switzerland/Aargau	Aargau	administrative-area
BASEL-STADT	http://bwd.eea.europa.eu/resource/provinces/CHBASEL-STADT	Switzerland/Basel-Stadt/Basel-Stadt/Basel	Basel	administrative-area
FRIBOURG	http://bwd.eea.europa.eu/resource/provinces/CHFRIBOURG	undefined/FRIBOURG	FRIBOURG	non-administrative-area
