East Ayrshire Community Health Partnership	http://statistics.gov.scot/id/statistical-geography/S03000001
North Ayrshire Community Health Partnership	http://statistics.gov.scot/id/statistical-geography/S03000002
South Ayrshire Community Health Partnership	http://statistics.gov.scot/id/statistical-geography/S03000003
Scottish Borders Community Health and Care Partnership	http://statistics.gov.scot/id/statistical-geography/S03000004
Dumfries and Galloway Community Health Partnership	http://statistics.gov.scot/id/statistical-geography/S03000005
Dunfermline and West Fife Community Health Partnership	http://statistics.gov.scot/id/statistical-geography/S03000006
Glenrothes and North East Fife Community Health Partnership	http://statistics.gov.scot/id/statistical-geography/S03000007
Kirkcaldy and Levenmouth Community Health Partnership	http://statistics.gov.scot/id/statistical-geography/S03000008
Clackmannanshire Community Health Partnership	http://statistics.gov.scot/id/statistical-geography/S03000009
Falkirk Community Health Partnership	http://statistics.gov.scot/id/statistical-geography/S03000010
Stirling Community Health Partnership	http://statistics.gov.scot/id/statistical-geography/S03000011
Aberdeen City Community Health Partnership	http://statistics.gov.scot/id/statistical-geography/S03000012
Aberdeenshire Community Health Partnership	http://statistics.gov.scot/id/statistical-geography/S03000013
Moray Community Health and Social Care Partnership	http://statistics.gov.scot/id/statistical-geography/S03000014
East Dunbartonshire Community Health Partnership	http://statistics.gov.scot/id/statistical-geography/S03000015
East Glasgow Community Health and Care Partnership	http://statistics.gov.scot/id/statistical-geography/S03000016
East Renfrewshire Community Health and Care Partnership	http://statistics.gov.scot/id/statistical-geography/S03000017
Inverclyde Community Health and Care Partnership	http://statistics.gov.scot/id/statistical-geography/S03000018
North Glasgow Community Health and Care Partnership	http://statistics.gov.scot/id/statistical-geography/S03000019
Renfrewshire Community Health Partnership	http://statistics.gov.scot/id/statistical-geography/S03000020
South East Glasgow Community Health and Care Partnership	http://statistics.gov.scot/id/statistical-geography/S03000021
South West Glasgow Community Health and Care Partnership	http://statistics.gov.scot/id/statistical-geography/S03000022
West Dunbartonshire Community Health and Care Partnership	http://statistics.gov.scot/id/statistical-geography/S03000023
West Glasgow Community Health and Care Partnership	http://statistics.gov.scot/id/statistical-geography/S03000024
Argyll and Bute Community Health Partnership	http://statistics.gov.scot/id/statistical-geography/S03000025
Mid Highland Community Health Partnership	http://statistics.gov.scot/id/statistical-geography/S03000026
North Highland Community Health Partnership	http://statistics.gov.scot/id/statistical-geography/S03000027
South East Highland Community Health Partnership	http://statistics.gov.scot/id/statistical-geography/S03000028
North Lanarkshire Community Health Partnership	http://statistics.gov.scot/id/statistical-geography/S03000029
South Lanarkshire Community Health Partnership	http://statistics.gov.scot/id/statistical-geography/S03000030
East Lothian Community Health Partnership	http://statistics.gov.scot/id/statistical-geography/S03000031
Midlothian Community Health Partnership	http://statistics.gov.scot/id/statistical-geography/S03000032
West Lothian Community Health and Care Partnership	http://statistics.gov.scot/id/statistical-geography/S03000035
Orkney Community Health Partnership	http://statistics.gov.scot/id/statistical-geography/S03000036
Shetland Community Health Partnership	http://statistics.gov.scot/id/statistical-geography/S03000037
Angus Community Health Partnership	http://statistics.gov.scot/id/statistical-geography/S03000038
Dundee Community Health Partnership	http://statistics.gov.scot/id/statistical-geography/S03000039
Perth and Kinross Community Health Partnership	http://statistics.gov.scot/id/statistical-geography/S03000040
Western Isles Community Health and Social Care Partnership	http://statistics.gov.scot/id/statistical-geography/S03000041
Edinburgh Community Health Partnership	http://statistics.gov.scot/id/statistical-geography/S03000042
Ayrshire and Arran	http://statistics.gov.scot/id/statistical-geography/S08000015
Borders	http://statistics.gov.scot/id/statistical-geography/S08000016
Dumfries and Galloway	http://statistics.gov.scot/id/statistical-geography/S08000017
Fife	http://statistics.gov.scot/id/statistical-geography/S08000018
Forth Valley	http://statistics.gov.scot/id/statistical-geography/S08000019
Grampian	http://statistics.gov.scot/id/statistical-geography/S08000020
Greater Glasgow and Clyde	http://statistics.gov.scot/id/statistical-geography/S08000021
Highland	http://statistics.gov.scot/id/statistical-geography/S08000022
Lanarkshire	http://statistics.gov.scot/id/statistical-geography/S08000023
Lothian	http://statistics.gov.scot/id/statistical-geography/S08000024
Orkney	http://statistics.gov.scot/id/statistical-geography/S08000025
Shetland	http://statistics.gov.scot/id/statistical-geography/S08000026
Tayside	http://statistics.gov.scot/id/statistical-geography/S08000027
Western Isles	http://statistics.gov.scot/id/statistical-geography/S08000028
Clackmannanshire	http://statistics.gov.scot/id/statistical-geography/S12000005
Dumfries and Galloway	http://statistics.gov.scot/id/statistical-geography/S12000006
East Ayrshire	http://statistics.gov.scot/id/statistical-geography/S12000008
East Lothian	http://statistics.gov.scot/id/statistical-geography/S12000010
East Renfrewshire	http://statistics.gov.scot/id/statistical-geography/S12000011
Comhairle nan Eilean Siar	http://statistics.gov.scot/id/statistical-geography/S12000013
Falkirk	http://statistics.gov.scot/id/statistical-geography/S12000014
Fife	http://statistics.gov.scot/id/statistical-geography/S12000015
Highland	http://statistics.gov.scot/id/statistical-geography/S12000017
Inverclyde	http://statistics.gov.scot/id/statistical-geography/S12000018
Midlothian	http://statistics.gov.scot/id/statistical-geography/S12000019
Moray	http://statistics.gov.scot/id/statistical-geography/S12000020
North Ayrshire	http://statistics.gov.scot/id/statistical-geography/S12000021
Orkney Islands	http://statistics.gov.scot/id/statistical-geography/S12000023
Perth and Kinross	http://statistics.gov.scot/id/statistical-geography/S12000024
Scottish Borders	http://statistics.gov.scot/id/statistical-geography/S12000026
Shetland Islands	http://statistics.gov.scot/id/statistical-geography/S12000027
South Ayrshire	http://statistics.gov.scot/id/statistical-geography/S12000028
South Lanarkshire	http://statistics.gov.scot/id/statistical-geography/S12000029
Stirling	http://statistics.gov.scot/id/statistical-geography/S12000030
Aberdeen City	http://statistics.gov.scot/id/statistical-geography/S12000033
Aberdeenshire	http://statistics.gov.scot/id/statistical-geography/S12000034
Argyll and Bute	http://statistics.gov.scot/id/statistical-geography/S12000035
City of Edinburgh	http://statistics.gov.scot/id/statistical-geography/S12000036
Renfrewshire	http://statistics.gov.scot/id/statistical-geography/S12000038
West Dunbartonshire	http://statistics.gov.scot/id/statistical-geography/S12000039
West Lothian	http://statistics.gov.scot/id/statistical-geography/S12000040
Angus	http://statistics.gov.scot/id/statistical-geography/S12000041
Dundee City	http://statistics.gov.scot/id/statistical-geography/S12000042
North Lanarkshire	http://statistics.gov.scot/id/statistical-geography/S12000044
East Dunbartonshire	http://statistics.gov.scot/id/statistical-geography/S12000045
Glasgow City	http://statistics.gov.scot/id/statistical-geography/S12000046
Aberdeen Central	http://statistics.gov.scot/id/statistical-geography/S16000074
Aberdeen Donside	http://statistics.gov.scot/id/statistical-geography/S16000075
Aberdeen South and North Kincardine	http://statistics.gov.scot/id/statistical-geography/S16000076
Aberdeenshire East	http://statistics.gov.scot/id/statistical-geography/S16000077
Aberdeenshire West	http://statistics.gov.scot/id/statistical-geography/S16000078
Airdrie and Shotts	http://statistics.gov.scot/id/statistical-geography/S16000079
Almond Valley	http://statistics.gov.scot/id/statistical-geography/S16000080
Angus North and Mearns	http://statistics.gov.scot/id/statistical-geography/S16000081
Angus South	http://statistics.gov.scot/id/statistical-geography/S16000082
Argyll and Bute	http://statistics.gov.scot/id/statistical-geography/S16000083
Ayr	http://statistics.gov.scot/id/statistical-geography/S16000084
Banffshire and Buchan Coast	http://statistics.gov.scot/id/statistical-geography/S16000085
Caithness	http://statistics.gov.scot/id/statistical-geography/S16000086
Carrick	http://statistics.gov.scot/id/statistical-geography/S16000087
Clackmannanshire and Dunblane	http://statistics.gov.scot/id/statistical-geography/S16000088
Clydebank and Milngavie	http://statistics.gov.scot/id/statistical-geography/S16000089
Clydesdale	http://statistics.gov.scot/id/statistical-geography/S16000090
Coatbridge and Chryston	http://statistics.gov.scot/id/statistical-geography/S16000091
Cowdenbeath	http://statistics.gov.scot/id/statistical-geography/S16000092
Cumbernauld and Kilsyth	http://statistics.gov.scot/id/statistical-geography/S16000093
Cunninghame North	http://statistics.gov.scot/id/statistical-geography/S16000094
Cunninghame South	http://statistics.gov.scot/id/statistical-geography/S16000095
Dumbarton	http://statistics.gov.scot/id/statistical-geography/S16000096
Dumfriesshire	http://statistics.gov.scot/id/statistical-geography/S16000097
Dundee City East	http://statistics.gov.scot/id/statistical-geography/S16000098
Dundee City West	http://statistics.gov.scot/id/statistical-geography/S16000099
Dunfermline	http://statistics.gov.scot/id/statistical-geography/S16000100
East Kilbride	http://statistics.gov.scot/id/statistical-geography/S16000101
East Lothian	http://statistics.gov.scot/id/statistical-geography/S16000102
Eastwood	http://statistics.gov.scot/id/statistical-geography/S16000103
Edinburgh Central	http://statistics.gov.scot/id/statistical-geography/S16000104
Edinburgh Eastern	http://statistics.gov.scot/id/statistical-geography/S16000105
Edinburgh Northern and Leith	http://statistics.gov.scot/id/statistical-geography/S16000106
Edinburgh Pentlands	http://statistics.gov.scot/id/statistical-geography/S16000107
Edinburgh Southern	http://statistics.gov.scot/id/statistical-geography/S16000108
Edinburgh Western	http://statistics.gov.scot/id/statistical-geography/S16000109
Na h-Eileanan an Iar	http://statistics.gov.scot/id/statistical-geography/S16000110
Ettrick	http://statistics.gov.scot/id/statistical-geography/S16000111
Falkirk East	http://statistics.gov.scot/id/statistical-geography/S16000112
Falkirk West	http://statistics.gov.scot/id/statistical-geography/S16000113
Galloway and West Dumfries	http://statistics.gov.scot/id/statistical-geography/S16000114
Glasgow Anniesland	http://statistics.gov.scot/id/statistical-geography/S16000115
Glasgow Cathcart	http://statistics.gov.scot/id/statistical-geography/S16000116
Glasgow Kelvin	http://statistics.gov.scot/id/statistical-geography/S16000117
Glasgow Maryhill and Springburn	http://statistics.gov.scot/id/statistical-geography/S16000118
Glasgow Pollok	http://statistics.gov.scot/id/statistical-geography/S16000119
Glasgow Provan	http://statistics.gov.scot/id/statistical-geography/S16000120
Glasgow Shettleston	http://statistics.gov.scot/id/statistical-geography/S16000121
Glasgow Southside	http://statistics.gov.scot/id/statistical-geography/S16000122
Greenock and Inverclyde	http://statistics.gov.scot/id/statistical-geography/S16000123
Hamilton	http://statistics.gov.scot/id/statistical-geography/S16000124
Inverness and Nairn	http://statistics.gov.scot/id/statistical-geography/S16000125
Kilmarnock and Irvine Valley	http://statistics.gov.scot/id/statistical-geography/S16000126
Kirkcaldy	http://statistics.gov.scot/id/statistical-geography/S16000127
Linlithgow	http://statistics.gov.scot/id/statistical-geography/S16000128
Mid Fife and Glenrothes	http://statistics.gov.scot/id/statistical-geography/S16000129
Midlothian North and Musselburgh	http://statistics.gov.scot/id/statistical-geography/S16000130
Midlothian South	http://statistics.gov.scot/id/statistical-geography/S16000131
Moray	http://statistics.gov.scot/id/statistical-geography/S16000132
Motherwell and Wishaw	http://statistics.gov.scot/id/statistical-geography/S16000133
North East Fife	http://statistics.gov.scot/id/statistical-geography/S16000134
Orkney Islands	http://statistics.gov.scot/id/statistical-geography/S16000135
Paisley	http://statistics.gov.scot/id/statistical-geography/S16000136
Perthshire North	http://statistics.gov.scot/id/statistical-geography/S16000137
Perthshire South and Kinross-shire	http://statistics.gov.scot/id/statistical-geography/S16000138
Renfrewshire North and West	http://statistics.gov.scot/id/statistical-geography/S16000139
Renfrewshire South	http://statistics.gov.scot/id/statistical-geography/S16000140
Rutherglen	http://statistics.gov.scot/id/statistical-geography/S16000141
Shetland Islands	http://statistics.gov.scot/id/statistical-geography/S16000142
Skye	http://statistics.gov.scot/id/statistical-geography/S16000143
Stirling	http://statistics.gov.scot/id/statistical-geography/S16000144
Strathkelvin and Bearsden	http://statistics.gov.scot/id/statistical-geography/S16000145
Uddingston and Bellshill	http://statistics.gov.scot/id/statistical-geography/S16000146
Scotland	http://statistics.gov.scot/id/statistical-geography/S92000003
