East Ayrshire Community Health Partnership	http://statistics.gov.scot/id/statistical-geography/S03000001	UnitedKingdom/Scotland/EastAyrshire	East Ayrshire	administrative-area
North Ayrshire Community Health Partnership	http://statistics.gov.scot/id/statistical-geography/S03000002	UnitedKingdom/Scotland/NorthAyrshire	North Ayrshire	administrative-area
South Ayrshire Community Health Partnership	http://statistics.gov.scot/id/statistical-geography/S03000003	UnitedKingdom/Scotland/SouthAyrshire	South Ayrshire	administrative-area
Scottish Borders Community Health and Care Partnership	http://statistics.gov.scot/id/statistical-geography/S03000004	UnitedKingdom/Scotland/ScottishBorders	Scottish Borders	administrative-area
Dumfries and Galloway Community Health Partnership	http://statistics.gov.scot/id/statistical-geography/S03000005	UnitedKingdom/Scotland/DumfriesandGalloway	Dumfries and Galloway	administrative-area
Dunfermline and West Fife Community Health Partnership	http://statistics.gov.scot/id/statistical-geography/S03000006	undefined/DunfermlineandWestFifeCommunityHealthPartnership	Dunfermline and West Fife Community Health Partnership	non-administrative-area
Glenrothes and North East Fife Community Health Partnership	http://statistics.gov.scot/id/statistical-geography/S03000007	undefined/GlenrothesandNorthEastFifeCommunityHealthPartnership	Glenrothes and North East Fife Community Health Partnership	non-administrative-area
Kirkcaldy and Levenmouth Community Health Partnership	http://statistics.gov.scot/id/statistical-geography/S03000008	undefined/KirkcaldyandLevenmouthCommunityHealthPartnership	Kirkcaldy and Levenmouth Community Health Partnership	non-administrative-area
Clackmannanshire Community Health Partnership	http://statistics.gov.scot/id/statistical-geography/S03000009	UnitedKingdom/Scotland/Clackmannanshire	Clackmannanshire	administrative-area
Falkirk Community Health Partnership	http://statistics.gov.scot/id/statistical-geography/S03000010	UnitedKingdom/Scotland/Falkirk	Falkirk	administrative-area
Stirling Community Health Partnership	http://statistics.gov.scot/id/statistical-geography/S03000011	undefined/StirlingCommunityHealthPartnership	Stirling Community Health Partnership	non-administrative-area
Aberdeen City Community Health Partnership	http://statistics.gov.scot/id/statistical-geography/S03000012	UnitedKingdom/Scotland/AberdeenCity	Aberdeen City	administrative-area
Aberdeenshire Community Health Partnership	http://statistics.gov.scot/id/statistical-geography/S03000013	UnitedKingdom/Scotland/Aberdeenshire	Aberdeenshire	administrative-area
Moray Community Health and Social Care Partnership	http://statistics.gov.scot/id/statistical-geography/S03000014	undefined/MorayCommunityHealthandSocialCarePartnership	Moray Community Health and Social Care Partnership	non-administrative-area
East Dunbartonshire Community Health Partnership	http://statistics.gov.scot/id/statistical-geography/S03000015	UnitedKingdom/Scotland/EastDunbartonshire	East Dunbartonshire	administrative-area
East Glasgow Community Health and Care Partnership	http://statistics.gov.scot/id/statistical-geography/S03000016	undefined/EastGlasgowCommunityHealthandCarePartnership	East Glasgow Community Health and Care Partnership	non-administrative-area
East Renfrewshire Community Health and Care Partnership	http://statistics.gov.scot/id/statistical-geography/S03000017	UnitedKingdom/Scotland/EastRenfrewshire	East Renfrewshire	administrative-area
Inverclyde Community Health and Care Partnership	http://statistics.gov.scot/id/statistical-geography/S03000018	UnitedKingdom/Scotland/Inverclyde	Inverclyde	administrative-area
North Glasgow Community Health and Care Partnership	http://statistics.gov.scot/id/statistical-geography/S03000019	undefined/NorthGlasgowCommunityHealthandCarePartnership	North Glasgow Community Health and Care Partnership	non-administrative-area
Renfrewshire Community Health Partnership	http://statistics.gov.scot/id/statistical-geography/S03000020	UnitedKingdom/Scotland/Renfrewshire	Renfrewshire	administrative-area
South East Glasgow Community Health and Care Partnership	http://statistics.gov.scot/id/statistical-geography/S03000021	undefined/SouthEastGlasgowCommunityHealthandCarePartnership	South East Glasgow Community Health and Care Partnership	non-administrative-area
South West Glasgow Community Health and Care Partnership	http://statistics.gov.scot/id/statistical-geography/S03000022	undefined/SouthWestGlasgowCommunityHealthandCarePartnership	South West Glasgow Community Health and Care Partnership	non-administrative-area
West Dunbartonshire Community Health and Care Partnership	http://statistics.gov.scot/id/statistical-geography/S03000023	undefined/WestDunbartonshireCommunityHealthandCarePartnership	West Dunbartonshire Community Health and Care Partnership	non-administrative-area
West Glasgow Community Health and Care Partnership	http://statistics.gov.scot/id/statistical-geography/S03000024	undefined/WestGlasgowCommunityHealthandCarePartnership	West Glasgow Community Health and Care Partnership	non-administrative-area
Argyll and Bute Community Health Partnership	http://statistics.gov.scot/id/statistical-geography/S03000025	UnitedKingdom/Scotland/ArgyllandBute	Argyll and Bute	administrative-area
Mid Highland Community Health Partnership	http://statistics.gov.scot/id/statistical-geography/S03000026	undefined/MidHighlandCommunityHealthPartnership	Mid Highland Community Health Partnership	non-administrative-area
North Highland Community Health Partnership	http://statistics.gov.scot/id/statistical-geography/S03000027	undefined/NorthHighlandCommunityHealthPartnership	North Highland Community Health Partnership	non-administrative-area
South East Highland Community Health Partnership	http://statistics.gov.scot/id/statistical-geography/S03000028	undefined/SouthEastHighlandCommunityHealthPartnership	South East Highland Community Health Partnership	non-administrative-area
