East Ayrshire Community Health Partnership	http://statistics.gov.scot/id/statistical-geography/S03000001	UnitedKingdom/Scotland/EastAyrshire/EastAyrshireCommunityHealthPartnership	non-administrative-area
North Ayrshire Community Health Partnership	http://statistics.gov.scot/id/statistical-geography/S03000002	UnitedKingdom/Scotland/NorthAyrshire/NorthAyrshireCommunityHealthPartnership	non-administrative-area
South Ayrshire Community Health Partnership	http://statistics.gov.scot/id/statistical-geography/S03000003	UnitedKingdom/Scotland/SouthAyrshire/SouthAyrshireCommunityHealthPartnership	non-administrative-area
Scottish Borders Community Health and Care Partnership	http://statistics.gov.scot/id/statistical-geography/S03000004	UnitedKingdom/Scotland/ScottishBorders	administrative-area
Dumfries and Galloway Community Health Partnership	http://statistics.gov.scot/id/statistical-geography/S03000005	UnitedKingdom/Scotland/DumfriesandGalloway	administrative-area
Dunfermline and West Fife Community Health Partnership	http://statistics.gov.scot/id/statistical-geography/S03000006	UnitedKingdom/Scotland/Fife/Dunfermline	administrative-area
Glenrothes and North East Fife Community Health Partnership	http://statistics.gov.scot/id/statistical-geography/S03000007	UnitedKingdom/Scotland/Fife/Glenrothes	administrative-area
Kirkcaldy and Levenmouth Community Health Partnership	http://statistics.gov.scot/id/statistical-geography/S03000008	UnitedKingdom/Scotland/Fife/Kirkcaldy	administrative-area
Clackmannanshire Community Health Partnership	http://statistics.gov.scot/id/statistical-geography/S03000009	UnitedKingdom/Scotland/Clackmannanshire	administrative-area
Falkirk Community Health Partnership	http://statistics.gov.scot/id/statistical-geography/S03000010	UnitedKingdom/Scotland/Falkirk	administrative-area
Stirling Community Health Partnership	http://statistics.gov.scot/id/statistical-geography/S03000011	World/tmp/StirlingCommunityHealthPartnership	non-administrative-area
Aberdeen City Community Health Partnership	http://statistics.gov.scot/id/statistical-geography/S03000012	UnitedKingdom/Scotland/AberdeenCity	administrative-area
Aberdeenshire Community Health Partnership	http://statistics.gov.scot/id/statistical-geography/S03000013	UnitedKingdom/Scotland/Aberdeenshire	administrative-area
Moray Community Health and Social Care Partnership	http://statistics.gov.scot/id/statistical-geography/S03000014	World/tmp/MorayCommunityHealthandSocialCarePartnership	non-administrative-area
East Dunbartonshire Community Health Partnership	http://statistics.gov.scot/id/statistical-geography/S03000015	UnitedKingdom/Scotland/EastDunbartonshire/EastDunbartonshireCommunityHealthPartnership	non-administrative-area
