Albania	http://unodc.publicdata.eu/r/country/Albania	Albania	Albania	administrative-area
Algeria	http://unodc.publicdata.eu/r/country/Algeria	Algeria	Algeria	administrative-area
Argentina	http://unodc.publicdata.eu/r/country/Argentina	Argentina	Argentina	administrative-area
Armenia	http://unodc.publicdata.eu/r/country/Armenia	Armenia	Armenia	administrative-area
Australia	http://unodc.publicdata.eu/r/country/Australia	Australia	Australia	administrative-area
Austria	http://unodc.publicdata.eu/r/country/Austria	Austria	Austria	administrative-area
Azerbaijan	http://unodc.publicdata.eu/r/country/Azerbaijan	Azerbaijan	Azerbaijan	administrative-area
Bahamas	http://unodc.publicdata.eu/r/country/Bahamas	TheBahamas	The Bahamas	administrative-area
Bahrain	http://unodc.publicdata.eu/r/country/Bahrain	Bahrain	Bahrain	administrative-area
Bangladesh	http://unodc.publicdata.eu/r/country/Bangladesh	Bangladesh	Bangladesh	administrative-area
Barbados	http://unodc.publicdata.eu/r/country/Barbados	Barbados	Barbados	administrative-area
Belarus	http://unodc.publicdata.eu/r/country/Belarus	Belarus	Belarus	administrative-area
Belize	http://unodc.publicdata.eu/r/country/Belize	Belize	Belize	administrative-area
Bermuda	http://unodc.publicdata.eu/r/country/Bermuda	Bermuda	Bermuda	administrative-area
Bolivia	http://unodc.publicdata.eu/r/country/Bolivia+%28Plurinational+State+of%29	Bolivia	Bolivia	administrative-area
Bosnia and Herzegovina	http://unodc.publicdata.eu/r/country/Bosnia+and+Herzegovina	BosniaandHerzegovina	Bosnia and Herzegovina	administrative-area
Botswana	http://unodc.publicdata.eu/r/country/Botswana	Botswana	Botswana	administrative-area
Brunei Darussalam	http://unodc.publicdata.eu/r/country/Brunei+Darussalam	Brunei	Brunei	administrative-area
Bulgaria	http://unodc.publicdata.eu/r/country/Bulgaria	Bulgaria	Bulgaria	administrative-area
Burkina Faso	http://unodc.publicdata.eu/r/country/Burkina+Faso	BurkinaFaso	Burkina Faso	administrative-area
Cameroon	http://unodc.publicdata.eu/r/country/Cameroon	Cameroon	Cameroon	administrative-area
Canada	http://unodc.publicdata.eu/r/country/Canada	Canada	Canada	administrative-area
Cape Verde	http://unodc.publicdata.eu/r/country/Cape+Verde	CapeVerde	Cape Verde	administrative-area
Chile	http://unodc.publicdata.eu/r/country/Chile	Chile	Chile	administrative-area
Colombia	http://unodc.publicdata.eu/r/country/Colombia	Colombia	Colombia	administrative-area
Costa Rica	http://unodc.publicdata.eu/r/country/Costa+Rica	CostaRica	Costa Rica	administrative-area
Cote d'Ivoire	http://unodc.publicdata.eu/r/country/Cote+d%27Ivoire	Côted'Ivoire	Côte d'Ivoire	administrative-area
Croatia	http://unodc.publicdata.eu/r/country/Croatia	Croatia	Croatia	administrative-area
Cyprus	http://unodc.publicdata.eu/r/country/Cyprus	Cyprus	Cyprus	administrative-area
Czech Republic	http://unodc.publicdata.eu/r/country/Czech+Republic	CzechRepublic	Czech Republic	administrative-area
Denmark	http://unodc.publicdata.eu/r/country/Denmark	Denmark	Denmark	administrative-area
Dominican Republic	http://unodc.publicdata.eu/r/country/Dominican+Republic	DominicanRepublic	Dominican Republic	administrative-area
Ecuador	http://unodc.publicdata.eu/r/country/Ecuador	Ecuador	Ecuador	administrative-area
Egypt	http://unodc.publicdata.eu/r/country/Egypt	Egypt	Egypt	administrative-area
El Salvador	http://unodc.publicdata.eu/r/country/El+Salvador	ElSalvador	El Salvador	administrative-area
Estonia	http://unodc.publicdata.eu/r/country/Estonia	Estonia	Estonia	administrative-area
Finland	http://unodc.publicdata.eu/r/country/Finland	Finland	Finland	administrative-area
France	http://unodc.publicdata.eu/r/country/France	France	France	administrative-area
Georgia	http://unodc.publicdata.eu/r/country/Georgia	Georgia	Georgia	administrative-area
Germany	http://unodc.publicdata.eu/r/country/Germany	Germany	Germany	administrative-area
Greece	http://unodc.publicdata.eu/r/country/Greece	Greece	Greece	administrative-area
Guatemala	http://unodc.publicdata.eu/r/country/Guatemala	Guatemala	Guatemala	administrative-area
Guinea	http://unodc.publicdata.eu/r/country/Guinea	Guinea	Guinea	administrative-area
Guyana	http://unodc.publicdata.eu/r/country/Guyana	Guyana	Guyana	administrative-area
Hong Kong Special Administrative Region of China	http://unodc.publicdata.eu/r/country/Hong+Kong+Special+Administrative+Region+of+China	HongKong	Hong Kong	administrative-area
Hungary	http://unodc.publicdata.eu/r/country/Hungary	Hungary	Hungary	administrative-area
Iceland	http://unodc.publicdata.eu/r/country/Iceland	Iceland	Iceland	administrative-area
India	http://unodc.publicdata.eu/r/country/India	India	India	administrative-area
Ireland	http://unodc.publicdata.eu/r/country/Ireland	Ireland	Ireland	administrative-area
Israel	http://unodc.publicdata.eu/r/country/Israel	Israel	Israel	administrative-area
Italy	http://unodc.publicdata.eu/r/country/Italy	Italy	Italy	administrative-area
Jamaica	http://unodc.publicdata.eu/r/country/Jamaica	Jamaica	Jamaica	administrative-area
Japan	http://unodc.publicdata.eu/r/country/Japan	Japan	Japan	administrative-area
Jordan	http://unodc.publicdata.eu/r/country/Jordan	Jordan	Jordan	administrative-area
Kazakhstan	http://unodc.publicdata.eu/r/country/Kazakhstan	Kazakhstan	Kazakhstan	administrative-area
	http://unodc.publicdata.eu/r/country/Kenya	Kenya	Kenya	administrative-area
Kyrgyzstan	http://unodc.publicdata.eu/r/country/Kyrgyzstan	Kyrgyzstan	Kyrgyzstan	administrative-area
Latvia	http://unodc.publicdata.eu/r/country/Latvia	Latvia	Latvia	administrative-area
Lebanon	http://unodc.publicdata.eu/r/country/Lebanon	Lebanon	Lebanon	administrative-area
Lesotho	http://unodc.publicdata.eu/r/country/Lesotho	Lesotho	Lesotho	administrative-area
Liechtenstein	http://unodc.publicdata.eu/r/country/Liechtenstein	Liechtenstein	Liechtenstein	administrative-area
Lithuania	http://unodc.publicdata.eu/r/country/Lithuania	Lithuania	Lithuania	administrative-area
Luxembourg	http://unodc.publicdata.eu/r/country/Luxembourg	Luxembourg	Luxembourg	administrative-area
Malaysia	http://unodc.publicdata.eu/r/country/Malaysia	Malaysia	Malaysia	administrative-area
Maldives	http://unodc.publicdata.eu/r/country/Maldives	Maldives	Maldives	administrative-area
Malta	http://unodc.publicdata.eu/r/country/Malta	Malta	Malta	administrative-area
